teilnehmer_feedback_id,teilnehmer_ue_id,teilnehmer_id,gruppe_id,erfasst_am,teilnehmer_datum,mitarbeit,absprachen,selbststaendigkeit,konzentration,fleiss,lernfortschritt,beherrscht_thema,transferdenken,basiswissen,vorbereitet,themenauswahl,materialien,methodenvielfalt,individualisierung,aufforderung,zielgruppen,emotions,bemerkungen,id_mtr_rueckkopplung_datenmaske,lehrkraft_id,datum,satzanzahl,mean_kognition,mean_sozial,mean_affektiv,mean_motivation,mean_methodik,mean_performanz,mean_regulation,var_kognition,var_sozial,var_affektiv,var_motivation,var_methodik,var_performanz,var_regulation,d_semantisch_mean,d_semantisch_std,semantische_breite,dominanz_breite,sdlg_id,sdlg_type,sdlg_ue_id,x_kognition,x_sozial,x_affektiv,x_motivation,x_methodik,x_performanz,x_regulation,sum_kognition,sum_sozial,sum_affektiv,sum_motivation,sum_methodik,sum_performanz,sum_regulation,h_kognition,h_sozial,h_affektiv,h_motivation,h_methodik,h_performanz,h_regulation,token_anzahl,funktionsklassen_anzahl_gesamt,dominante_dimension,dominante_dimension_wert,polaritaet_gesamt,d_semantisch,sdlg_created_at,emotion_count,ambivalenz_index,emotion_polaritaet,nichtlinearitaets_index
171,55,10,7,2025-11-06T15:35:00,2025-11-06,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,"5,3,28,22,27,1,6,10,23,18,9,13,16,26,24,2,11,20",,650,1,2025-11-06,5,0.375087193362424,0.049583844802211605,0.1022968405553244,0.223447068620818,0.28317161871543595,0.239349681201002,0.149232066746632,0.08483855191636389,0.025495896745897962,0.054839955161218826,0.08962256689370103,0.07362798918190921,0.1600108230874981,0.14827142946523453,3.395294407617,0.3279418846507397,0.7979393538683398,2,158,1,0,0.4203804582296,0.10475536950786,0.25246070648679,0.41263193809134,0.41884022888482,0.43154055802919,0.4654537379475,2.4121517874781,0.60108848272941,1.4486247695355,2.3676906182303,2.4033139195554,2.4761886715744,2.6707832012619,5,2,4,5,5,5,5,39,7,regulation,0.4654537379475,1,5.7380107387296,2026-03-31T03:42:34,18,5,1,26.090673305388496
61,21,10,5,2025-09-24T15:35:00,2025-09-24,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,"28,22,27,1,6,10,23,18,4,8,14,13,26,25,12,24,2,20",,661,1,2025-09-24,4,0.5498718857507601,0.0479900310250665,0.2098790057466775,0.294055341185625,0.42848368326433,0.503071967563775,0.32951791808468756,0.0044388028490378335,0.0012202828288861234,0.003343679986591968,0.0018208602947209385,0.0029331848049924765,0.004080346650866137,0.0017152807832922798,3.395407432660075,0.3651411752402059,0.13983003324889742,2,168,1,0,0.43187694210552,0.045931368541293,0.34704158229303,0.40183622868501,0.43071804630455,0.43116650374923,0.3975378426995,2.484911628271,0.26427757692786,1.9967902410563,2.312064896199,2.4782436324347,2.480823944117,2.2873330610932,5,1,5,5,5,5,5,47,7,kognition,0.43187694210552,1,5.7537392419863,2026-03-31T03:42:34,18,5,1,25.146709854313503
149,49,9,7,2025-10-30T15:35:00,2025-10-30,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,"5,3,28,1,6,10,23,4,8,14,13,7,16,26,25,12,2",,544,1,2025-10-30,5,0.291373436076606,0.1385479410694884,0.12290628614508899,0.275870415411832,0.271124399645136,0.21664428813152597,0.3102836002853814,0.07968310394730596,0.010673891078824344,0.03905094973164617,0.08497646727453574,0.04880807409170933,0.30355367687705725,0.021223770860286924,3.3402770204636196,0.9263388825968919,0.7667919756109643,4,141,1,0,0.41450240812885,0.15775858425599,0.23603703957903,0.41825853196668,0.4056327639105,0.50597948959492,0.38998720930944,2.680554390678,1.0202123254326,1.526432923906,2.7048449473744,2.6231951008718,3.272129463733,2.5220165328876,5,3,4,5,5,5,5,43,7,performanz,0.50597948959492,1,6.4669111519871,2026-03-31T03:42:34,17,2,1,23.91204316347743
150,49,10,7,2025-10-30T15:35:00,2025-10-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"5,3,28,1,6,10,23,4,9,8,14,13,7,26,12,24,2,11",,652,1,2025-10-30,5,0.43070114766966194,0.1731399937901204,0.23179610929452604,0.42098342093278796,0.36601670520639595,0.47779222825240397,0.394568204664702,0.005536284599523761,0.0076568269115292725,0.007642126959605691,0.0033946326453673853,0.005221062229033643,0.001559472685791137,0.004609489081798394,4.08783958692864,0.5180193463099425,0.18873233722033247,4,160,1,0,0.3972199399828,0.30036103209341,0.34768785753227,0.39821347220981,0.39533981120376,0.39847292316951,0.39681382668055,2.40441279211,1.8181159481773,2.1045900473881,2.4104267439678,2.3930321809369,2.4119972270771,2.4019545468894,5,4,5,5,5,5,5,44,7,performanz,0.39847292316951,1,6.0530919470324,2026-03-31T03:42:34,18,1,1,23.204378585907104
139,46,9,4,2025-10-28T17:10:00,2025-10-28,2,2,2,3,3,3,2,2,2,2,2,2,3,3,2,2,"17,5,22,27,1,15,6,8,14,16,25,24,2,20",,545,1,2025-10-28,3,0.16775194154117667,0.14089409801331518,-0.07678073801816666,0.18479820819277334,0.1690114774113133,0.06746034069016997,0.32850027801798565,0.08476902420808143,0.01642349728506715,0.013362468107909678,0.11040697246536435,0.047116969679153194,0.4565582665634674,0.042289823861978305,2.877395346750133,0.5442720385122358,0.8780244997555714,1,142,1,0,0.38075207974513,0.24723658335294,0.11330709353861,0.42379126620982,0.34074619310465,0.55211593342318,0.42487742834192,2.1213625867618,1.3774801659779,0.63129117826074,2.3611556825526,1.898469539858,3.0761173661954,2.3672072416451,4,3,4,4,4,4,4,29,7,performanz,0.55211593342318,1,5.5714962362412,2026-03-31T03:42:34,14,7,0,23.044083764190823
37,12,10,5,2025-09-17T15:35:00,2025-09-17,1,1,2,3,1,1,3,2,1,1,1,1,2,1,1,1,"28,22,6,23,18,9,8,14,26,25,12,24,2,11,20",,663,1,2025-09-17,4,0.5463409379918925,0.16516865863333124,0.20125857871026476,0.3359718640701475,0.4440509121677025,0.41267089569447246,0.326900504781395,0.002029440590300088,0.01799609410572916,0.015139001494214502,0.0042508638038463616,0.001908809253373643,0.002207457716013436,0.0029691670075002352,3.758988700038425,0.7140696126274463,0.2156405202437089,1,170,1,0,0.4343228902273,0.20984523470514,0.28908681442931,0.39482064005968,0.43091598459551,0.42714733153466,0.39965889920385,2.542818148848,1.2285750607762,1.6925085342354,2.3115454231715,2.5228718331762,2.5008076048901,2.3398718444526,4,2,4,4,4,4,4,37,7,kognition,0.4343228902273,1,5.8546621944983,2026-03-31T03:42:34,15,5,1,21.23799955254927
18,6,9,7,2025-09-11T15:35:00,2025-09-11,2,1,1,2,2,1,2,2,2,3,2,2,1,2,2,2,"5,22,27,1,6,10,23,18,4,9,14,13,7,16,26",,553,1,2025-09-11,5,0.451909240559888,0.1591093326358814,0.16012293651962423,0.40819516814037804,0.34504507467934,0.492529391097836,0.41833617645738597,0.001502046182688233,0.015384004846222335,0.0066713997030360545,0.006186041966033381,0.0016113060928556033,0.006822664031117835,0.0033689417868157613,3.0537503740514795,0.5139033003359962,0.20382935168608374,3,148,1,0,0.420559588558,0.25730898306118,0.24134250470237,0.41960804870743,0.40192441991309,0.43193641761969,0.41771864252709,2.4536076913824,1.5011791838236,1.4080283553292,2.4480562652361,2.3448873236596,2.5199818177815,2.4370331863137,5,3,5,5,5,5,5,42,7,performanz,0.43193641761969,1,5.8341399234276,2026-03-31T03:42:34,15,3,1,21.22005573514197
240,75,10,5,2025-11-26T15:35:00,2025-11-26,1,1,1,3,1,2,2,1,2,1,1,1,1,1,1,1,"28,22,27,1,6,18,8,14,16,26,25,24,2,11",,1099,1,2025-11-26,4,0.51172000485676,0.1129429917376345,0.1664764034882645,0.3612629047887825,0.39552368340948496,0.4375562645490225,0.43719639440235997,0.003850595125580103,0.0044630156300067515,0.010589267126727857,0.002682033161079569,0.0005204018301799096,0.0002775901498850624,0.005738003108488015,3.928706740141525,0.4997459825549954,0.16769289231195003,2,294,1,0,0.42478757876429,0.17557240572121,0.29987554509991,0.40977554091039,0.42048975956275,0.42194366119117,0.41956759190244,2.4614585854514,1.0173654481329,1.7376478785004,2.3744703793271,2.4365545993153,2.444979324577,2.4312110402798,5,2,5,5,5,5,5,38,7,kognition,0.42478757876429,1,5.7945534677262,2026-03-31T03:42:35,14,5,1,21.186702195708246
204,64,5,6,2025-11-12T17:10:00,2025-11-12,1,1,2,2,1,2,3,3,3,1,1,2,2,2,0,0,"5,3,28,1,15,6,10,23,4,8,14,13,7,26,12,2",,1333,1,2025-11-12,5,0.31844470318801,0.10577661691171761,0.125132405350948,0.25015703349248597,0.22988707112940338,0.238269579469836,0.1568013311795858,0.10300399046974482,0.030493020549932127,0.05038254933255761,0.12601652568257599,0.06423510642735918,0.18247629180026267,0.11834635192912246,3.2282630779516603,0.8298583482237875,0.8215557413782433,3,399,1,0,0.44100333646346,0.1300646045029,0.2267861821115,0.40309151786909,0.43557844254549,0.44307550182568,0.43432313323319,2.5582303139678,0.75449591080618,1.3155711939035,2.33830643683,2.5267608738899,2.5702508040795,2.5194789100801,5,3,5,5,5,5,5,46,7,performanz,0.44307550182568,1,5.8009218806589,2026-03-31T03:42:35,16,1,1,21.1163011683225
93,30,10,5,2025-10-01T15:35:00,2025-10-01,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,"3,28,22,27,1,10,23,18,9,14,16,26,25,2",,658,1,2025-10-01,4,0.44857685454362,0.17956201216744175,0.20812762102844626,0.39602488210337,0.35186967609061753,0.47451960370376,0.3800124606321575,0.006754231135705114,0.01334982998564586,0.01683918310817624,0.005453619700739683,0.008502180381918925,0.002220102217820398,0.01986717080068956,3.4991276659621,1.2520250939064355,0.27015979961995784,2,166,1,0,0.41936193254158,0.21826291310355,0.27543454075334,0.41081658755045,0.41822427850374,0.41194329607111,0.43272414809604,2.4662535231896,1.2835969043754,1.6198213376787,2.4159986346175,2.4595630177783,2.4226247698078,2.544836266714,5,3,5,5,5,5,5,46,7,regulation,0.43272414809604,1,5.8809566109717,2026-03-31T03:42:34,14,4,1,20.312319773229564
98,32,10,7,2025-10-02T15:35:00,2025-10-02,1,1,3,3,1,1,1,1,3,2,1,1,1,1,1,1,"5,22,27,1,10,23,18,9,8,14,13,25,2,20",,657,1,2025-10-02,4,0.5197677266445825,0.1316407824599795,0.15885957267968376,0.373905704985205,0.422788691606465,0.43772352534899,0.38074851733302495,0.004944237475227965,0.00911773777431086,0.006005600442816095,0.00607976455856919,0.004691463115611231,0.0002898443111218768,0.0010147440197805094,3.82678476531705,0.6647312583801631,0.17928578219545946,2,165,1,0,0.42232471205671,0.23220466953253,0.28431633643705,0.4054764484674,0.41975360648869,0.41783518292499,0.41435878258888,2.5073819127367,1.378621169487,1.6880130835965,2.4073521721632,2.492117014868,2.4807271520273,2.4600874331679,5,3,5,5,5,5,5,37,7,kognition,0.42232471205671,1,5.9370849441388,2026-03-31T03:42:34,14,4,1,20.192385891216624
43,14,10,7,2025-09-18T15:35:00,2025-09-18,1,1,1,2,1,1,3,1,1,1,2,2,1,1,1,1,"22,27,1,6,10,23,18,8,14,13,26,25,24,2",,662,1,2025-09-18,5,0.512127012074882,0.0792794417363826,0.15291107926544698,0.36553490623856594,0.43900415772192,0.458043373721276,0.38666655958392404,0.0027928342441873506,0.003984307227526485,0.005993531120965084,0.001975046281502539,0.0008438711241220394,0.001317203494616182,0.005492264388703897,4.31709168933226,0.31928940418763574,0.1496631480412716,2,169,1,0,0.42829925418172,0.11323890311166,0.25713198964135,0.4283432821955,0.42874131380082,0.42856726603078,0.4320293832703,2.4696427265174,0.65295381838293,1.4826646130541,2.4698965991612,2.4721917137322,2.4711881261584,2.4911512537507,5,1,4,5,5,5,5,47,7,regulation,0.4320293832703,1,5.7661516320947,2026-03-31T03:42:34,14,4,1,20.163123989832442
261,80,9,4,2025-12-02T17:10:00,2025-12-02,1,3,2,2,3,2,4,1,1,2,2,3,1,2,2,1,"17,5,28,22,27,1,15,6,23,4,21",,1408,1,2025-12-02,4,0.424104123203415,0.1759615344637985,0.214626296104295,0.416517025126185,0.32515048314223427,0.448827472842055,0.40096411599087245,0.03143829351052932,0.013760034779220371,0.006880607383496945,0.020610090559263036,0.02135649985079802,0.00040501910875350783,0.007223938981581411,3.31752969204525,1.047818848431968,0.3188643664219046,4,436,1,0,0.4242201744442,0.20813865776626,0.31283263793185,0.40614309683092,0.41373837111883,0.41994569470089,0.40787479412268,2.4995536957648,1.2263767321599,1.8432456149047,2.3930414908323,2.4377937139946,2.474367973153,2.4032448489616,5,3,5,5,5,5,5,38,7,kognition,0.4242201744442,1,5.8921041575589,2026-03-31T03:42:35,11,4,1,19.353579003346248
309,91,10,7,2025-12-11T15:35:00,2025-12-11,1,1,2,3,1,1,2,1,2,1,1,1,1,1,1,1,"3,28,22,27,16,26,25,24,2,11,20",,1093,1,2025-12-11,4,0.4310304942801175,0.24917139854201,0.289493542849675,0.38817669949753997,0.35900722001648255,0.392392854995315,0.42902259622326255,0.0071845117450419285,0.013732250456697993,0.01299190600196648,0.006064525752199438,0.0029434265823873196,0.002206898331325272,0.00559146812003673,4.063426377742375,0.32681549634225837,0.22519988230382174,3,289,1,0,0.39629956828411,0.31689383680592,0.35166471709951,0.38531127909766,0.39362716606778,0.39943943330881,0.39483486740064,2.3916268375299,1.9124214745789,2.1222601348498,2.3253136506884,2.3754991670182,2.4105755976606,2.3827875194428,5,4,5,5,5,5,5,44,7,performanz,0.39943943330881,1,6.0348863989165,2026-03-31T03:42:35,11,5,1,19.249847782178023
295,89,10,5,2025-12-10T15:35:00,2025-12-10,1,1,2,3,1,1,2,1,2,1,1,1,1,1,1,1,"22,1,15,6,18,4,8,16,26,25,24,20",,1094,1,2025-12-10,5,0.451797028219434,0.1069402722819798,0.203187992250986,0.37260562421737004,0.364540364421426,0.5072244824755361,0.43602308258221595,0.004665244370794065,0.0030125708278096346,0.0033752767227301778,0.00200027621444535,0.0014952136552431586,0.0073458918640891754,0.0021405445016013575,3.72936262306766,0.3725232065880274,0.1550323132663411,2,290,1,0,0.40683173652774,0.21784785632055,0.34981678617498,0.41041943435947,0.40200507522224,0.41071299632012,0.40733004918912,2.4369643246988,1.3049312686281,2.095438854808,2.4584550070589,2.4080521225454,2.4602134736704,2.4399492692577,5,4,5,5,5,5,5,56,7,performanz,0.41071299632012,1,5.9900937846703,2026-03-31T03:42:35,12,5,-1,19.162548410705117
