id,teilnehmer_id,zeitpunkt,x_kognition,y_sozial,z_affektiv,h_bedeutung,dh_dt,cluster_id,stabilitaet_score,transitions_marker,bemerkung
73,20,2025-09-29 17:10:00,1.8,1.25,2.0,1.63636,0.0,2,0.899444,⚖️ Homöostatisch (resilient),K:1.80 S:1.25 A:2.00 h:1.64 Δh:0.00
74,16,2025-09-29 17:10:00,1.4,1.0,1.0,1.18182,0.0,1,0.964444,⚖️ Homöostatisch (resilient),K:1.40 S:1.00 A:1.00 h:1.18 Δh:0.00
75,23,2025-09-29 17:10:00,2.0,2.0,2.5,2.09091,0.181818,2,0.944444,🔄 Koordinativ,K:2.00 S:2.00 A:2.50 h:2.09 Δh:0.18
76,3,2025-09-30 15:35:00,2.0,1.25,2.0,1.72727,0.454545,2,0.875,🌊 Transformativ,K:2.00 S:1.25 A:2.00 h:1.73 Δh:0.45
77,7,2025-09-30 17:10:00,2.8,1.75,3.0,2.45455,0.454545,3,0.699444,🌊 Transformativ,K:2.80 S:1.75 A:3.00 h:2.45 Δh:0.45
78,9,2025-09-30 17:10:00,3.6,1.75,2.0,2.63636,0.30303,3,0.328333,🌊 Transformativ,K:3.60 S:1.75 A:2.00 h:2.64 Δh:0.30
79,8,2025-09-30 17:10:00,2.4,2.75,3.0,2.63636,-0.272727,3,0.939444,🔄 Koordinativ,K:2.40 S:2.75 A:3.00 h:2.64 Δh:-0.27
80,24,2025-09-30 17:10:00,1.8,1.75,1.5,1.72727,0.272727,2,0.982778,🔄 Koordinativ,K:1.80 S:1.75 A:1.50 h:1.73 Δh:0.27
81,5,2025-09-30 17:10:00,1.75,2.0,1.5,1.77778,-0.422222,2,0.958333,🌊 Transformativ,K:1.75 S:2.00 A:1.50 h:1.78 Δh:-0.42
82,6,2025-10-01 15:35:00,2.0,2.0,2.0,2.0,0.0,2,1.0,⚖️ Homöostatisch (resilient),K:2.00 S:2.00 A:2.00 h:2.00 Δh:0.00
83,11,2025-10-01 15:35:00,1.6,2.25,1.0,1.72727,-0.545455,2,0.739444,⚡ Perturbativ,K:1.60 S:2.25 A:1.00 h:1.73 Δh:-0.55
84,2,2025-10-01 15:35:00,1.8,1.75,1.5,1.72727,-0.454545,2,0.982778,🌊 Transformativ,K:1.80 S:1.75 A:1.50 h:1.73 Δh:-0.45
85,10,2025-10-01 16:53:43,1.4,1.0,1.0,1.18182,0.0,1,0.964444,⚖️ Homöostatisch (resilient),K:1.40 S:1.00 A:1.00 h:1.18 Δh:0.00
86,12,2025-10-01 17:10:00,1.0,1.25,1.0,1.09091,0.0,1,0.986111,⚖️ Homöostatisch (resilient),K:1.00 S:1.25 A:1.00 h:1.09 Δh:0.00
87,14,2025-10-01 17:10:00,1.4,1.0,1.5,1.27273,0.0909091,1,0.953333,🌱 Adaptiv (resilient),K:1.40 S:1.00 A:1.50 h:1.27 Δh:0.09
88,22,2025-10-01 17:10:00,2.6,1.25,2.0,2.0,-0.363636,2,0.695,🌊 Transformativ,K:2.60 S:1.25 A:2.00 h:2.00 Δh:-0.36
