lag,match_type,lehrkraft_id,gruppe_id,teilnehmer_id,teacher_date,participant_time,teacher_dominante_dimension,participant_dominante_dimension,dominanz_match,teacher_dominante_dimension_wert,participant_dominante_dimension_wert,teacher_polaritaet_gesamt,participant_polaritaet_gesamt,polaritaet_match
0,same_or_following_session,23,2,8,2026-01-06,2026-02-02T17:10:00,kognition,methodik,0,0.49685538692007397,1.0,1,1,1
1,same_or_following_session,23,2,8,2026-01-06,2026-02-02T17:10:00,kognition,sozial,0,0.49685538692007397,1.0,1,1,1
0,same_or_following_session,23,2,8,2026-01-13,2026-02-02T17:10:00,regulation,methodik,0,0.4975710406403925,1.0,1,1,1
1,same_or_following_session,23,2,8,2026-01-13,2026-02-02T17:10:00,regulation,sozial,0,0.4975710406403925,1.0,1,1,1
0,same_or_following_session,23,2,8,2026-01-20,2026-02-02T17:10:00,performanz,methodik,0,0.5477588991296366,1.0,1,1,1
1,same_or_following_session,23,2,8,2026-01-20,2026-02-02T17:10:00,performanz,sozial,0,0.5477588991296366,1.0,1,1,1
0,same_or_following_session,23,2,8,2026-01-27,2026-02-02T17:10:00,performanz,methodik,0,0.49844621730787003,1.0,1,1,1
1,same_or_following_session,23,2,8,2026-01-27,2026-02-02T17:10:00,performanz,sozial,0,0.49844621730787003,1.0,1,1,1
0,same_or_following_session,18,2,9,2025-12-16,2026-02-02T17:10:00,performanz,methodik,0,0.483397275887074,1.0,1,1,1
1,same_or_following_session,18,2,9,2025-12-16,2026-02-02T17:10:00,performanz,sozial,0,0.483397275887074,1.0,1,1,1
0,same_or_following_session,25,2,9,2025-12-23,2026-02-02T17:10:00,kognition,methodik,0,0.5784877388758267,1.0,1,1,1
1,same_or_following_session,25,2,9,2025-12-23,2026-02-02T17:10:00,kognition,sozial,0,0.5784877388758267,1.0,1,1,1
0,same_or_following_session,23,2,9,2026-01-06,2026-02-02T17:10:00,regulation,methodik,0,0.47787376390051,1.0,1,1,1
1,same_or_following_session,23,2,9,2026-01-06,2026-02-02T17:10:00,regulation,sozial,0,0.47787376390051,1.0,1,1,1
0,same_or_following_session,23,2,9,2026-01-13,2026-02-02T17:10:00,kognition,methodik,0,0.5182535677036625,1.0,1,1,1
1,same_or_following_session,23,2,9,2026-01-13,2026-02-02T17:10:00,kognition,sozial,0,0.5182535677036625,1.0,1,1,1
0,same_or_following_session,23,2,9,2026-01-20,2026-02-02T17:10:00,kognition,methodik,0,0.5753938121626166,1.0,1,1,1
1,same_or_following_session,23,2,9,2026-01-20,2026-02-02T17:10:00,kognition,sozial,0,0.5753938121626166,1.0,1,1,1
0,same_or_following_session,23,2,9,2026-01-27,2026-02-02T17:10:00,kognition,methodik,0,0.52244814415856,1.0,1,1,1
1,same_or_following_session,23,2,9,2026-01-27,2026-02-02T17:10:00,kognition,sozial,0,0.52244814415856,1.0,1,1,1
0,same_or_following_session,23,4,12,2025-12-17,2026-02-03T17:10:00,kognition,methodik,0,0.5065287395061875,0.89473684210526,1,1,1
1,same_or_following_session,23,4,12,2025-12-17,2026-02-03T17:10:00,kognition,sozial,0,0.5065287395061875,0.85925925925926,1,1,1
