pc1,pc2,dominante_dimension
-0.1058308967060704,0.0723355481097529,kognition
-0.0005783766318114501,-0.048833745678021824,performanz
-0.058838060813528104,0.0385025349112779,motivation
-0.03901824490772558,0.03742086208833308,kognition
-0.11059649192539181,0.1034278467228234,kognition
-0.06898200260673087,0.05644546344989667,performanz
-0.0068911555973654726,-0.00711468952375045,kognition
-0.05622124949213513,0.09120125333507104,performanz
0.1328791366165749,-0.13099260987019454,regulation
0.09753692718854035,-0.1244166525788394,performanz
0.04938459501936808,-0.052177566457682664,performanz
-0.07026287286556826,0.043782860384959196,performanz
-0.04677608826875103,0.06591388033808691,kognition
-0.06928142866645132,0.03369288546846703,kognition
-0.03655511554853278,0.013559485810864344,kognition
-0.02743280670644504,0.019123548598873937,kognition
-0.10233106417031713,0.07050574518746806,kognition
0.10477438777566471,-0.10048158896702893,performanz
0.018720415390255665,-0.007060542995238097,methodik
0.11650718614367185,-0.051593545757989856,kognition
-0.07374231049895505,0.05705584402038449,performanz
-0.08180186870852178,0.06606254598482252,methodik
-0.012021660807690767,-0.0277589260541095,performanz
0.01679365507498579,-0.03755842226257464,performanz
-0.09673347065945308,0.07378795853080673,performanz
-0.04370953276763307,0.03871686459035259,regulation
0.04264580273270768,-0.004243177759361671,performanz
0.09759873164536038,-0.09602271042689062,performanz
-0.08228317941221881,0.038669223737953125,kognition
-0.11353696970189592,0.11331645766080904,performanz
0.09525970118781456,-0.07582734326822725,methodik
0.06296595749187597,-0.07389293015092854,kognition
-0.016931274509992024,0.03569745498662821,performanz
-0.016931274509992024,0.03569745498662821,performanz
-0.010588156798734625,-0.01900896560647413,performanz
0.13531553747552802,-0.13401499691914842,methodik
0.025891057081127516,-0.06392371650864057,kognition
0.09826399474923726,-0.11536720014226412,performanz
-0.018352386483253175,-0.004408696234995156,kognition
-0.049841163173904225,0.012925196761078022,performanz
-0.11381678009833039,0.10970553484485106,kognition
0.04719004217021751,-0.052424913719832975,kognition
-0.060771999056607594,0.04178384898288839,performanz
-0.063802294683688,0.01090451017627393,performanz
0.030608751912247517,-0.07845416513751827,performanz
-0.05049511197026951,0.03649973235775867,kognition
-0.017983183775001348,-0.003966083574494738,kognition
-0.046766814022704876,0.0402824637185171,kognition
